fact_id,service_id,hotel_id,room_id,booking_id,guest_id,channel_id,employee_id,sales_date,sales
1994,52,1,23,1,102808,3,3,2023-02-16,100
1995,39,3,86,2,146153,3,3,2022-06-01,100
1996,59,1,1,3,26197,8,2,2022-11-01,100
1997,65,4,138,4,116565,4,2,2022-06-05,100
1998,78,2,42,5,37217,2,4,2022-03-31,100
1999,70,3,117,6,32362,6,1,2022-10-21,100
2000,15,4,179,7,31701,2,1,2022-04-27,100
2001,58,3,88,8,74213,2,4,2022-07-12,100
2002,76,4,154,9,2896,2,4,2022-07-31,100
2003,63,2,45,10,93650,4,4,2022-10-04,100
2004,25,2,78,11,144272,7,3,2022-11-23,100
2005,73,4,160,12,119645,4,5,2022-05-25,100
2006,43,1,2,13,18138,1,5,2022-10-03,100
2007,53,1,26,14,92720,4,1,2023-01-11,100
2008,29,3,99,15,142469,5,1,2022-10-06,100
2009,45,4,153,16,56268,5,3,2022-03-09,100
2010,69,2,73,17,102610,7,5,2022-10-30,100
2011,78,2,69,18,103150,3,3,2022-09-02,100
2012,16,1,23,19,84254,4,5,2022-03-02,100
2013,76,1,31,20,24385,4,5,2023-02-23,100
2014,56,2,42,21,94250,4,1,2022-12-16,100
2015,40,4,150,22,122426,2,4,2022-04-18,100
2016,69,3,96,23,134626,1,3,2022-05-08,100
2017,78,1,2,24,102867,2,2,2022-12-28,100
2018,74,2,77,25,31494,2,2,2022-03-22,100
2019,54,4,174,26,85387,4,5,2022-03-19,100
2020,71,1,11,27,45048,1,1,2022-12-28,100
2021,24,3,116,28,111909,5,1,2022-07-14,100
2022,58,4,140,29,112029,6,3,2022-06-05,100
2023,35,1,26,30,101202,2,3,2022-08-22,100
2024,33,2,46,31,146814,7,2,2022-11-27,100
2025,60,3,111,32,135212,4,1,2023-02-12,100
2026,59,1,19,33,9540,1,5,2022-09-04,100
2027,56,4,167,34,106312,3,4,2022-10-15,100
2028,44,1,33,35,144522,6,3,2023-02-27,100
2029,9,2,76,36,131704,3,5,2022-09-14,100
2030,53,4,172,37,83150,7,2,2022-04-20,100
2031,45,4,166,38,147650,4,4,2022-04-29,100
2032,26,3,114,39,106019,2,5,2023-02-07,100
2033,37,4,172,40,60056,5,4,2023-02-21,100
2034,5,2,67,41,97859,6,4,2023-01-01,100
2035,60,2,63,42,25093,2,3,2022-06-18,100
2036,56,2,45,43,8675,3,5,2023-01-20,100
2037,63,2,61,44,113238,2,2,2022-03-19,100
2038,14,2,46,45,44185,8,5,2022-11-12,100
2039,65,4,137,46,15475,6,1,2022-05-07,100
2040,68,1,13,47,58809,8,3,2022-06-18,100
2041,35,2,60,48,70148,1,5,2022-06-13,100
2042,14,2,75,49,82897,4,3,2022-12-11,100
2043,78,1,27,50,51916,8,3,2022-07-28,100
2044,37,3,104,51,548,8,5,2022-11-08,100
2045,1,1,34,52,108295,4,1,2022-11-06,100
2046,30,1,18,53,53174,5,2,2022-11-27,100
2047,45,3,103,54,142721,6,4,2023-01-23,100
2048,58,2,69,55,45779,8,5,2023-02-07,100
