fact_id,service_id,hotel_id,room_id,booking_id,guest_id,channel_id,employee_id,sales_date,sales
3994,30,1,23,1,102808,3,4,2022-12-05,100
3995,52,3,86,2,146153,3,2,2023-01-06,100
3996,30,1,1,3,26197,8,5,2022-05-14,100
3997,56,4,138,4,116565,4,2,2022-05-01,100
3998,16,2,42,5,37217,2,4,2022-04-21,100
3999,31,3,117,6,32362,6,1,2022-04-28,100
4000,53,4,179,7,31701,2,1,2022-12-02,100
4001,61,3,88,8,74213,2,2,2022-04-27,100
4002,9,4,154,9,2896,2,4,2022-05-24,100
4003,25,2,45,10,93650,4,2,2022-04-27,100
4004,13,2,78,11,144272,7,1,2022-05-14,100
4005,41,4,160,12,119645,4,5,2022-11-28,100
4006,5,1,2,13,18138,1,4,2022-05-27,100
4007,39,1,26,14,92720,4,4,2022-06-03,100
4008,49,3,99,15,142469,5,1,2022-09-15,100
4009,30,4,153,16,56268,5,2,2023-01-04,100
4010,66,2,73,17,102610,7,2,2022-11-23,100
4011,5,2,69,18,103150,3,3,2022-09-01,100
4012,19,1,23,19,84254,4,5,2022-06-27,100
4013,4,1,31,20,24385,4,4,2022-04-10,100
4014,20,2,42,21,94250,4,3,2022-06-04,100
4015,51,4,150,22,122426,2,4,2022-05-13,100
4016,34,3,96,23,134626,1,2,2022-04-05,100
4017,55,1,2,24,102867,2,2,2022-08-31,100
4018,17,2,77,25,31494,2,3,2022-05-07,100
4019,9,4,174,26,85387,4,1,2022-04-23,100
4020,24,1,11,27,45048,1,2,2022-12-12,100
4021,1,3,116,28,111909,5,2,2022-05-05,100
4022,57,4,140,29,112029,6,4,2023-01-14,100
4023,34,1,26,30,101202,2,1,2022-07-04,100
4024,64,2,46,31,146814,7,4,2022-10-26,100
4025,63,3,111,32,135212,4,1,2022-11-10,100
4026,11,1,19,33,9540,1,1,2022-11-10,100
4027,16,4,167,34,106312,3,4,2022-03-06,100
4028,73,1,33,35,144522,6,5,2022-07-21,100
4029,20,2,76,36,131704,3,3,2022-03-10,100
4030,64,4,172,37,83150,7,2,2022-11-24,100
4031,33,4,166,38,147650,4,4,2022-12-20,100
4032,31,3,114,39,106019,2,2,2022-06-28,100
4033,16,4,172,40,60056,5,5,2022-05-01,100
4034,70,2,67,41,97859,6,4,2022-04-13,100
4035,13,2,63,42,25093,2,2,2022-04-12,100
4036,77,2,45,43,8675,3,2,2022-11-07,100
4037,33,2,61,44,113238,2,1,2023-02-06,100
4038,37,2,46,45,44185,8,5,2022-08-24,100
4039,7,4,137,46,15475,6,4,2022-05-18,100
4040,60,1,13,47,58809,8,1,2022-04-28,100
4041,66,2,60,48,70148,1,1,2022-07-07,100
4042,49,2,75,49,82897,4,5,2022-09-21,100
4043,43,1,27,50,51916,8,1,2022-11-20,100
4044,20,3,104,51,548,8,3,2022-03-18,100
4045,55,1,34,52,108295,4,2,2022-10-18,100
4046,44,1,18,53,53174,5,5,2023-02-28,100
4047,53,3,103,54,142721,6,1,2022-12-08,100
4048,20,2,69,55,45779,8,1,2022-04-24,100
4049,43,4,172,56,75012,3,2,2022-09-27,100
4050,15,4,152,57,59384,8,2,2023-02-11,100
4051,58,4,127,58,111607,2,5,2022-07-17,100
4052,38,2,70,59,127865,3,5,2022-03-11,100
4053,54,4,125,60,97819,8,1,2022-11-28,100
4054,34,4,138,61,56903,2,4,2022-11-29,100
4055,63,4,175,62,47228,7,4,2022-04-03,100
4056,10,3,96,63,38777,8,4,2022-11-23,100
4057,4,4,157,64,72675,2,2,2022-08-11,100
4058,18,1,31,65,33685,1,2,2022-11-08,100
4059,73,4,125,66,52110,5,5,2022-12-01,100
4060,76,4,175,67,72128,5,5,2022-07-04,100
4061,18,3,114,68,30219,8,5,2022-09-25,100
4062,22,3,87,69,105097,7,4,2022-03-29,100
4063,23,1,23,70,10606,1,1,2022-06-28,100
4064,1,1,36,71,145867,6,5,2022-12-18,100
4065,63,2,74,72,7444,2,4,2022-10-29,100
4066,44,4,173,73,107596,8,4,2022-08-21,100
4067,54,3,116,74,15212,3,2,2022-03-04,100
4068,78,3,100,75,23747,2,2,2022-09-20,100
4069,57,4,139,76,40078,2,1,2022-08-08,100
4070,21,3,81,77,35316,7,3,2022-08-27,100
4071,68,2,45,78,145020,1,5,2022-12-15,100
4072,9,1,10,79,145426,5,4,2022-12-10,100
4073,22,4,153,80,89811,2,2,2022-12-01,100
4074,39,1,2,81,115693,6,1,2022-11-13,100
4075,3,1,26,82,46217,1,3,2022-11-06,100
4076,71,3,91,83,46596,3,3,2022-06-02,100
4077,59,4,123,84,36191,8,5,2023-01-26,100
4078,8,2,77,85,69752,3,2,2022-10-05,100
4079,49,3,104,86,113989,3,1,2022-03-18,100
4080,75,4,142,87,42582,1,3,2022-04-19,100
4081,29,1,13,88,51501,6,4,2022-06-29,100
4082,41,3,98,89,74147,7,4,2023-02-24,100
4083,69,2,47,90,12837,3,3,2022-05-05,100
4084,11,4,122,91,91665,3,3,2022-11-30,100
4085,7,1,37,92,63976,5,4,2022-07-27,100
4086,14,2,54,93,108677,3,2,2022-06-02,100
4087,39,2,39,94,100933,6,2,2022-11-13,100
4088,9,4,143,95,39343,6,2,2022-04-10,100
4089,41,2,52,96,13376,6,1,2023-02-13,100
4090,76,4,135,97,10312,5,2,2022-12-19,100
4091,79,2,41,98,115492,7,1,2022-05-22,100
4092,62,4,138,99,141060,7,3,2023-01-18,100
4093,11,2,48,100,93513,1,4,2022-10-21,100
4094,56,1,28,101,47580,2,4,2022-04-29,100
4095,41,4,121,102,46993,7,4,2022-12-21,100
4096,63,2,65,103,40518,5,1,2022-03-29,100
4097,50,1,17,104,4417,5,3,2022-03-15,100
4098,45,4,122,105,50799,6,1,2022-10-01,100
4099,78,3,89,106,147165,8,5,2022-05-23,100
4100,8,4,127,107,149612,6,3,2022-09-16,100
4101,8,4,179,108,39922,7,2,2022-09-16,100
4102,25,1,26,109,125897,4,5,2023-01-16,100
4103,16,1,24,110,37002,5,5,2022-03-03,100
4104,48,3,102,111,41227,6,3,2023-01-25,100
4105,58,3,112,112,96077,6,4,2022-05-28,100
4106,51,4,182,113,144026,7,5,2022-07-30,100
4107,63,4,148,114,94039,4,4,2022-07-04,100
4108,38,2,49,115,146826,1,1,2022-12-03,100
4109,18,1,22,116,47002,2,4,2022-10-21,100
4110,75,4,131,117,100966,7,1,2023-02-19,100
4111,79,4,155,118,133694,8,1,2022-05-13,100
4112,26,2,63,119,14003,2,4,2023-02-23,100
4113,64,3,81,120,135418,1,3,2022-06-17,100
4114,9,1,21,121,10239,8,1,2023-02-02,100
4115,26,2,57,122,110856,6,1,2022-04-07,100
4116,41,2,53,123,55282,4,5,2022-09-11,100
4117,7,4,153,124,42163,1,5,2023-02-06,100
4118,24,4,179,125,102046,3,4,2022-06-08,100
4119,28,1,37,126,14346,2,2,2022-06-28,100
4120,31,3,96,127,52302,5,1,2022-07-09,100
4121,73,4,127,128,60619,1,4,2023-01-23,100
4122,8,4,125,129,85766,4,3,2022-03-06,100
4123,65,4,160,130,37746,7,1,2022-06-20,100
4124,38,4,118,131,3278,7,1,2022-06-03,100
4125,79,4,153,132,93996,4,5,2023-02-13,100
4126,44,3,89,133,146533,8,1,2022-07-06,100
4127,34,4,172,134,528,7,4,2022-04-01,100
4128,68,2,39,135,113926,3,2,2022-11-24,100
4129,65,4,142,136,49744,5,1,2023-02-18,100
4130,46,4,146,137,100407,6,4,2022-06-13,100
4131,64,1,37,138,40486,1,3,2022-03-23,100
4132,79,4,180,139,48410,2,2,2022-03-22,100
4133,57,3,97,140,47733,5,5,2022-06-17,100
4134,30,4,183,141,135353,5,2,2023-02-02,100
4135,76,2,69,142,120330,6,1,2022-04-09,100
4136,45,2,63,143,48831,7,1,2022-12-14,100
4137,66,2,40,144,118145,5,2,2022-09-10,100
4138,12,4,152,145,33874,3,5,2022-05-07,100
4139,38,1,3,146,72619,7,1,2022-03-09,100
4140,74,4,143,147,81715,3,2,2022-10-07,100
4141,71,4,142,148,40966,6,4,2022-03-05,100
4142,70,4,161,149,74712,4,4,2022-04-16,100
4143,35,4,137,150,13885,8,3,2022-11-27,100
4144,38,3,90,151,72261,5,3,2023-01-21,100
4145,62,4,139,152,61502,3,3,2022-06-05,100
4146,70,3,115,153,143662,2,5,2022-06-08,100
4147,14,4,161,154,24641,3,3,2022-03-27,100
4148,62,3,85,155,97103,7,4,2022-03-09,100
4149,38,4,174,156,43540,3,5,2023-01-13,100
4150,64,4,151,157,77429,3,3,2023-01-24,100
4151,55,4,122,158,24569,8,3,2022-10-31,100
4152,59,1,12,159,28239,7,2,2022-09-17,100
4153,56,2,51,160,129352,8,5,2022-03-25,100
4154,31,4,147,161,117383,3,2,2023-01-19,100
